,PM2.5,RF_diff
0,8.573684210526316,8.352671177978017
1,7.6999999999999975,7.745739784427389
2,9.594736842105265,7.398476252565979
3,11.215789473684215,6.920003388199196
4,7.6999999999999975,7.981390776463041
5,9.594736842105265,7.773992178642402
6,11.215789473684215,7.580594541673909
7,9.827272727272726,7.1014902171740015
8,9.594736842105265,7.295599920270854
9,11.215789473684215,7.329813047319355
10,9.827272727272726,7.291122785714538
11,7.620000000000001,6.734183885222328
12,11.215789473684215,10.406579036263787
13,9.827272727272726,10.200918988164222
14,7.620000000000001,9.626407344609094
15,6.68421052631579,9.404804952222458
16,9.827272727272726,10.511815576969719
17,7.620000000000001,9.452430902198161
18,6.68421052631579,8.652151958000141
19,3.421052631578947,8.36976353840511
20,7.620000000000001,9.5360215045745
21,6.68421052631579,9.322527302630608
22,3.421052631578947,9.049156289613673
23,3.1947368421052627,9.400500605636678
24,6.68421052631579,7.098403512711414
25,3.421052631578947,7.232719249443155
26,3.1947368421052627,7.312173476611898
27,4.75,7.345921431454263
28,3.421052631578947,6.183773085262059
29,3.1947368421052627,6.096293106131548
30,4.75,6.165238497955756
31,5.178947368421052,6.0769454970600885
32,3.1947368421052627,3.1876226012968134
33,4.75,2.7168977334826194
34,5.178947368421052,2.3805246170685894
35,5.08421052631579,2.301934284232604
36,4.75,2.7645998118160393
37,5.178947368421052,2.6053799005596034
38,5.08421052631579,2.418461593648394
39,5.842105263157895,2.306051004108845
40,5.178947368421052,5.391475166623921
41,5.08421052631579,4.96288457469882
42,5.842105263157895,4.740864432710131
43,6.510526315789474,4.781459031369884
44,5.08421052631579,4.932616543069859
45,5.842105263157895,4.301360182659852
46,6.510526315789474,4.130494704204501
47,7.199999999999999,4.213284480615901
48,5.842105263157895,4.932071984317984
49,6.510526315789474,4.289297154199348
50,7.199999999999999,4.424996830692715
51,4.373684210526315,4.705603790818058
52,6.510526315789474,5.676917292609707
53,7.199999999999999,5.43017866386568
54,4.373684210526315,5.260423427831761
55,4.173684210526317,5.079404433581034
56,7.199999999999999,6.352154539607785
57,4.373684210526315,5.816135684981773
58,4.173684210526317,5.337470881830025
59,7.078947368421051,4.73065144263842
60,4.373684210526315,7.064682154602565
61,4.173684210526317,6.698575570076905
62,7.078947368421051,6.592383047467898
63,8.850000000000001,6.399254427541287
64,4.173684210526317,3.8148030380956657
65,7.078947368421051,3.8645939866700294
66,8.850000000000001,3.724673555748926
67,8.735294117647056,3.9537907583059546
68,7.078947368421051,3.991742907587186
69,8.850000000000001,3.8642598818028446
70,8.735294117647056,3.88850719252952
71,7.673684210526316,3.8951503066633038
72,8.850000000000001,7.309314027007847
73,8.735294117647056,6.666048545623184
74,7.673684210526316,6.1194630749480305
75,5.968421052631577,5.7635765649936515
76,8.735294117647056,8.387047320786007
77,7.673684210526316,7.4735479093942185
78,5.968421052631577,6.773400871810992
79,6.215789473684211,6.239273687412927
80,7.673684210526316,8.419300949521736
81,5.968421052631577,7.822136500817541
82,6.215789473684211,7.381998798750171
83,4.045,7.110759496460082
84,5.968421052631577,7.031401681770204
85,6.215789473684211,6.42459398654196
86,4.045,6.001091061072737
87,4.973684210526315,5.810534508350747
88,6.215789473684211,5.650178034809494
89,4.045,5.348918316696457
90,4.973684210526315,5.119074027075549
91,5.78421052631579,5.003387889966984
92,4.045,6.177260622471149
93,4.973684210526315,5.8598920299910375
94,5.78421052631579,5.585744621848269
95,6.6099999999999985,5.424107548088038
96,4.973684210526315,3.82611784584687
97,5.78421052631579,3.695725555076139
98,6.6099999999999985,3.586057581040195
99,6.689473684210528,3.754431430106113
100,5.78421052631579,5.047454942668565
101,6.6099999999999985,4.9683243695125565
102,6.689473684210528,4.88274351969006
103,8.168421052631576,4.673752413408095
104,6.6099999999999985,5.560412302495188
105,6.689473684210528,5.152092313509354
106,8.168421052631576,4.965200335461069
107,9.421052631578949,4.958618982876247
108,6.689473684210528,6.140337625900304
109,8.168421052631576,5.699282758460082
110,9.421052631578949,5.506922539385152
111,9.29,5.413823588889387
112,8.168421052631576,6.251753160883073
113,9.421052631578949,5.924617632621578
114,9.29,5.794830626874425
115,6.2210526315789485,5.812547905046439
116,9.421052631578949,7.4193614535862125
117,9.29,6.408410636007621
118,6.2210526315789485,6.084441101053372
119,5.552631578947369,5.9446170619152685
120,9.29,8.767803839103372
121,6.2210526315789485,7.7546695011939555
122,5.552631578947369,7.200782597246912
123,4.336842105263157,6.791461497365904
124,6.2210526315789485,8.854701335865036
125,5.552631578947369,8.162568515251081
126,4.336842105263157,7.783262915505622
127,4.178947368421053,7.674916758536048
128,5.552631578947369,6.145321704155176
129,4.336842105263157,6.108559521553561
130,4.178947368421053,5.81035863631669
131,7.926315789473685,5.824676665015642
132,4.336842105263157,5.247138143325233
133,4.178947368421053,5.100714835347887
134,7.926315789473685,5.213715304985636
135,8.355,5.1571745743512025
136,4.178947368421053,4.32369485627733
137,7.926315789473685,4.290582952463154
138,8.355,4.409165197853656
139,7.631578947368421,4.655473441510359
140,7.926315789473685,3.9440090828247536
141,8.355,3.9655173678963775
142,7.631578947368421,3.818529460797042
143,7.6157894736842096,3.7020213230366608
144,8.355,8.015546271215797
145,7.631578947368421,7.501683699388538
146,7.6157894736842096,7.214083472340185
147,9.217647058823529,7.38378120128308
148,7.631578947368421,7.347287878781291
149,7.6157894736842096,6.820535409279607
150,9.217647058823529,6.229526110476814
151,4.990000000000001,5.841065732254254
152,7.6157894736842096,6.5512968454817155
153,9.217647058823529,6.117198805418089
154,4.990000000000001,6.090579956870017
155,3.9105263157894745,6.147068378716254
156,9.217647058823529,7.302407754224154
157,4.990000000000001,6.739056301943797
158,3.9105263157894745,6.5020337336463925
159,6.415789473684211,6.2797888253679215
160,4.990000000000001,8.890661150519753
161,3.9105263157894745,8.11226409631931
162,6.415789473684211,7.305107455562293
163,4.378947368421053,6.993176638999926
164,3.9105263157894745,4.338181167239483
165,6.415789473684211,4.173461068151613
166,4.378947368421053,4.117961453342134
167,9.036842105263158,4.161071742985806
168,6.415789473684211,3.6011063907091163
169,4.378947368421053,3.6762648708520214
170,9.036842105263158,3.791891583919784
171,10.174999999999999,3.975136116874215
172,4.378947368421053,7.701143438747808
173,9.036842105263158,7.641988548889101
174,10.174999999999999,7.2772045303273245
175,7.089473684210528,6.814843874180927
176,9.036842105263158,4.163295628108742
177,10.174999999999999,4.2149417014609245
178,7.089473684210528,4.091363550197858
179,5.126315789473685,4.039835468856652
180,10.174999999999999,8.92676203852707
181,7.089473684210528,8.93350762111051
182,5.126315789473685,8.991705946566974
183,3.852631578947369,9.207083854210826
184,7.089473684210528,8.918132677407293
185,5.126315789473685,7.573204899348092
186,3.852631578947369,6.844421779622961
187,4.575000000000001,6.348105699185573
188,5.126315789473685,5.9245956677968845
189,3.852631578947369,5.233784334061374
190,4.575000000000001,5.050835179079208
191,6.86842105263158,4.721239231318692
192,3.852631578947369,4.81172643188302
193,4.575000000000001,4.589819473251734
194,6.86842105263158,4.768265512384602
195,7.884210526315785,5.1102044299492935
196,4.575000000000001,3.564736632249523
197,6.86842105263158,3.4692201179069215
198,7.884210526315785,3.8713622135532946
199,6.778947368421054,4.141135937543143
200,6.86842105263158,4.968174311481105
201,7.884210526315785,5.052248792568307
