,PM2.5,Seq2Seq_LSTM_diff
0,8.573684210526316,9.299721
1,7.6999999999999975,9.235542
2,9.594736842105265,9.481665
3,11.215789473684215,9.712082
4,7.6999999999999975,8.76948
5,9.594736842105265,8.909695
6,11.215789473684215,9.104462
7,9.827272727272726,9.260442
8,9.594736842105265,7.8859215
9,11.215789473684215,8.05437
10,9.827272727272726,8.221791
11,7.620000000000001,8.365866
12,11.215789473684215,10.277452
13,9.827272727272726,10.305824
14,7.620000000000001,10.302778
15,6.68421052631579,10.305802
16,9.827272727272726,11.157637
17,7.620000000000001,10.131903
18,6.68421052631579,9.540051
19,3.421052631578947,9.192721
20,7.620000000000001,9.746682
21,6.68421052631579,9.446542
22,3.421052631578947,9.107806
23,3.1947368421052627,9.025711
24,6.68421052631579,7.502246
25,3.421052631578947,7.53041
26,3.1947368421052627,7.763525
27,4.75,7.9957914
28,3.421052631578947,6.6767373
29,3.1947368421052627,6.805091
30,4.75,6.981295
31,5.178947368421052,7.1585207
32,3.1947368421052627,3.0914526
33,4.75,3.0795283
34,5.178947368421052,3.2718778
35,5.08421052631579,3.4447021
36,4.75,3.0997496
37,5.178947368421052,3.2292323
38,5.08421052631579,3.3117948
39,5.842105263157895,3.4003215
40,5.178947368421052,5.0863824
41,5.08421052631579,5.1673427
42,5.842105263157895,5.146891
43,6.510526315789474,5.102226
44,5.08421052631579,5.503306
45,5.842105263157895,5.4807186
46,6.510526315789474,5.4846544
47,7.199999999999999,5.44227
48,5.842105263157895,5.241425
49,6.510526315789474,5.2369885
50,7.199999999999999,5.3040724
51,4.373684210526315,5.31785
52,6.510526315789474,5.959222
53,7.199999999999999,5.676488
54,4.373684210526315,5.5626054
55,4.173684210526317,5.4508204
56,7.199999999999999,6.308864
57,4.373684210526315,5.7336903
58,4.173684210526317,5.463497
59,7.078947368421051,5.230858
60,4.373684210526315,6.743241
61,4.173684210526317,6.00667
62,7.078947368421051,5.6716294
63,8.850000000000001,5.363667
64,4.173684210526317,4.043584
65,7.078947368421051,3.8959737
66,8.850000000000001,3.868734
67,8.735294117647056,3.9458184
68,7.078947368421051,4.26611
69,8.850000000000001,4.1755066
70,8.735294117647056,4.001472
71,7.673684210526316,3.9542108
72,8.850000000000001,7.035488
73,8.735294117647056,6.094773
74,7.673684210526316,5.6389437
75,5.968421052631577,5.378655
76,8.735294117647056,8.276851
77,7.673684210526316,7.094923
78,5.968421052631577,6.6330876
79,6.215789473684211,6.3145866
80,7.673684210526316,8.0856285
81,5.968421052631577,7.2510395
82,6.215789473684211,6.8629503
83,4.045,6.427009
84,5.968421052631577,7.146755
85,6.215789473684211,6.6667714
86,4.045,6.318528
87,4.973684210526315,6.0205774
88,6.215789473684211,5.8332257
89,4.045,5.6895523
90,4.973684210526315,5.4436502
91,5.78421052631579,5.325047
92,4.045,6.3825116
93,4.973684210526315,6.160297
94,5.78421052631579,5.7938213
95,6.6099999999999985,5.5715046
96,4.973684210526315,3.9306517
97,5.78421052631579,3.916544
98,6.6099999999999985,4.038598
99,6.689473684210528,4.131085
100,5.78421052631579,5.346762
101,6.6099999999999985,5.3906064
102,6.689473684210528,5.364317
103,8.168421052631576,5.3181996
104,6.6099999999999985,6.0066724
105,6.689473684210528,5.6297283
106,8.168421052631576,5.2696204
107,9.421052631578949,5.115268
108,6.689473684210528,6.4669876
109,8.168421052631576,5.772914
110,9.421052631578949,5.367724
111,9.29,5.1592283
112,8.168421052631576,6.412492
113,9.421052631578949,5.8009863
114,9.29,5.447615
115,6.2210526315789485,5.2552166
116,9.421052631578949,7.855709
117,9.29,7.096442
118,6.2210526315789485,6.7784514
119,5.552631578947369,6.4536242
120,9.29,8.86678
121,6.2210526315789485,7.9938145
122,5.552631578947369,7.6326637
123,4.336842105263157,7.2181606
124,6.2210526315789485,8.775582
125,5.552631578947369,8.255588
126,4.336842105263157,7.964452
127,4.178947368421053,7.5657444
128,5.552631578947369,5.9501815
129,4.336842105263157,5.7801814
130,4.178947368421053,5.6598954
131,7.926315789473685,5.6714973
132,4.336842105263157,5.799845
133,4.178947368421053,5.761906
134,7.926315789473685,5.668462
135,8.355,5.59279
136,4.178947368421053,4.36573
137,7.926315789473685,4.4278817
138,8.355,4.5378313
139,7.631578947368421,4.6141477
140,7.926315789473685,4.2634826
141,8.355,4.402973
142,7.631578947368421,4.4814787
143,7.6157894736842096,4.560987
144,8.355,8.090766
145,7.631578947368421,6.7338743
146,7.6157894736842096,6.1015534
147,9.217647058823529,5.7084856
148,7.631578947368421,7.6831455
149,7.6157894736842096,6.552692
150,9.217647058823529,6.0789185
151,4.990000000000001,5.7046566
152,7.6157894736842096,7.1480923
153,9.217647058823529,6.5131383
154,4.990000000000001,6.1746163
155,3.9105263157894745,5.84022
156,9.217647058823529,7.202488
157,4.990000000000001,6.6086545
158,3.9105263157894745,6.2615676
159,6.415789473684211,5.9643354
160,4.990000000000001,8.448262
161,3.9105263157894745,7.316036
162,6.415789473684211,6.80526
163,4.378947368421053,6.3572555
164,3.9105263157894745,4.675456
165,6.415789473684211,4.535731
166,4.378947368421053,4.643681
