,PM2.5,NBeats_diff
0,8.573684210526316,8.697478
1,7.6999999999999975,8.645623
2,9.594736842105265,9.325139
3,11.215789473684215,9.92916
4,7.6999999999999975,8.730676
5,9.594736842105265,9.002234
6,11.215789473684215,9.4072
7,9.827272727272726,9.887145
8,9.594736842105265,8.086382
9,11.215789473684215,8.539904
10,9.827272727272726,8.811109
11,7.620000000000001,8.926875
12,11.215789473684215,10.110708
13,9.827272727272726,9.793621
14,7.620000000000001,9.727613
15,6.68421052631579,9.52654
16,9.827272727272726,11.044008
17,7.620000000000001,10.722961
18,6.68421052631579,10.372111
19,3.421052631578947,10.231458
20,7.620000000000001,9.37863
21,6.68421052631579,9.488084
22,3.421052631578947,9.692722
23,3.1947368421052627,9.928084
24,6.68421052631579,7.3234644
25,3.421052631578947,7.4452715
26,3.1947368421052627,7.7956085
27,4.75,8.304426
28,3.421052631578947,6.888777
29,3.1947368421052627,7.14555
30,4.75,7.4797783
31,5.178947368421052,7.7428665
32,3.1947368421052627,3.137127
33,4.75,3.161303
34,5.178947368421052,3.5153146
35,5.08421052631579,3.631297
36,4.75,3.1970868
37,5.178947368421052,3.2094092
38,5.08421052631579,3.6319056
39,5.842105263157895,3.5374742
40,5.178947368421052,5.2262
41,5.08421052631579,5.2334967
42,5.842105263157895,5.152329
43,6.510526315789474,4.9211764
44,5.08421052631579,5.23473
45,5.842105263157895,5.4728403
46,6.510526315789474,5.383042
47,7.199999999999999,5.383739
48,5.842105263157895,5.012549
49,6.510526315789474,5.1722875
50,7.199999999999999,5.2184634
51,4.373684210526315,5.4436946
52,6.510526315789474,5.512325
53,7.199999999999999,5.53222
54,4.373684210526315,5.5389714
55,4.173684210526317,5.7076716
56,7.199999999999999,6.260914
57,4.373684210526315,6.1173005
58,4.173684210526317,5.8977723
59,7.078947368421051,5.939359
60,4.373684210526315,7.4215508
61,4.173684210526317,7.179125
62,7.078947368421051,7.2399855
63,8.850000000000001,7.2048883
64,4.173684210526317,4.0478187
65,7.078947368421051,3.9751825
66,8.850000000000001,4.1448226
67,8.735294117647056,4.1072354
68,7.078947368421051,4.3668847
69,8.850000000000001,4.5179443
70,8.735294117647056,4.688508
71,7.673684210526316,4.7454467
72,8.850000000000001,7.5841637
73,8.735294117647056,7.0561886
74,7.673684210526316,6.3714314
75,5.968421052631577,6.1302714
76,8.735294117647056,8.408694
77,7.673684210526316,7.4837523
78,5.968421052631577,7.0863714
79,6.215789473684211,6.956042
80,7.673684210526316,8.245285
81,5.968421052631577,7.7631435
82,6.215789473684211,7.77532
83,4.045,7.9171867
84,5.968421052631577,6.9730525
85,6.215789473684211,6.937145
86,4.045,6.859532
87,4.973684210526315,6.8474402
88,6.215789473684211,5.8172326
89,4.045,5.80951
90,4.973684210526315,5.733894
91,5.78421052631579,5.7923336
92,4.045,6.7221637
93,4.973684210526315,6.7625313
94,5.78421052631579,6.8508854
95,6.6099999999999985,6.8813477
96,4.973684210526315,3.7393413
97,5.78421052631579,3.7656465
98,6.6099999999999985,3.8953743
99,6.689473684210528,3.8465414
100,5.78421052631579,5.275628
101,6.6099999999999985,5.334998
102,6.689473684210528,5.489274
103,8.168421052631576,5.5449114
104,6.6099999999999985,5.9005523
105,6.689473684210528,5.9961405
106,8.168421052631576,5.8620014
107,9.421052631578949,5.9089375
108,6.689473684210528,6.47222
109,8.168421052631576,6.1849093
110,9.421052631578949,6.12116
111,9.29,6.2130923
112,8.168421052631576,6.2346168
113,9.421052631578949,6.157057
114,9.29,6.188251
115,6.2210526315789485,6.466536
116,9.421052631578949,7.9195633
117,9.29,7.777088
118,6.2210526315789485,7.7086887
119,5.552631578947369,7.677126
120,9.29,9.387472
121,6.2210526315789485,9.119317
122,5.552631578947369,8.788423
123,4.336842105263157,8.703639
124,6.2210526315789485,9.35794
125,5.552631578947369,9.261281
126,4.336842105263157,9.373156
127,4.178947368421053,9.313888
128,5.552631578947369,6.001979
129,4.336842105263157,6.059284
130,4.178947368421053,6.180941
131,7.926315789473685,6.2495823
132,4.336842105263157,5.786683
133,4.178947368421053,5.99335
134,7.926315789473685,6.118923
135,8.355,6.194121
136,4.178947368421053,4.381908
137,7.926315789473685,4.6028647
138,8.355,4.697276
139,7.631578947368421,4.766463
140,7.926315789473685,4.328032
141,8.355,4.325218
142,7.631578947368421,4.420711
143,7.6157894736842096,4.446243
144,8.355,8.423257
145,7.631578947368421,7.9719944
