,PM2.5,Hybrid
0,8.573684210526316,8.090502
1,7.6999999999999975,7.9549875
2,9.594736842105265,7.9007177
3,11.215789473684215,7.906369
4,7.6999999999999975,8.114415
5,9.594736842105265,8.048091
6,11.215789473684215,7.969342
7,9.827272727272726,7.9603863
8,9.594736842105265,7.2566547
9,11.215789473684215,7.2556915
10,9.827272727272726,7.1756916
11,7.620000000000001,7.174386
12,11.215789473684215,9.039828
13,9.827272727272726,9.053381
14,7.620000000000001,8.916993
15,6.68421052631579,8.899899
16,9.827272727272726,10.071989
17,7.620000000000001,9.830507
18,6.68421052631579,9.5597
19,3.421052631578947,9.569323
20,7.620000000000001,8.456888
21,6.68421052631579,8.109251
22,3.421052631578947,7.935195
23,3.1947368421052627,8.002288
24,6.68421052631579,6.306005
25,3.421052631578947,5.9666095
26,3.1947368421052627,5.803351
27,4.75,5.889363
28,3.421052631578947,6.1904235
29,3.1947368421052627,6.1505833
30,4.75,6.0295906
31,5.178947368421052,6.027968
32,3.1947368421052627,2.9971445
33,4.75,2.9278858
34,5.178947368421052,2.87614
35,5.08421052631579,2.858452
36,4.75,3.2522311
37,5.178947368421052,3.2089877
38,5.08421052631579,3.1336474
39,5.842105263157895,3.0815468
40,5.178947368421052,5.1660094
41,5.08421052631579,5.0259924
42,5.842105263157895,4.928184
43,6.510526315789474,4.9218645
44,5.08421052631579,5.146222
45,5.842105263157895,4.9362674
46,6.510526315789474,4.8385177
47,7.199999999999999,4.871595
48,5.842105263157895,4.82136
49,6.510526315789474,4.532264
50,7.199999999999999,4.446329
51,4.373684210526315,4.5226893
52,6.510526315789474,5.2652016
53,7.199999999999999,4.8303905
54,4.373684210526315,4.6820784
55,4.173684210526317,4.8666477
56,7.199999999999999,5.7806396
57,4.373684210526315,5.3272853
58,4.173684210526317,5.1549945
59,7.078947368421051,5.143428
60,4.373684210526315,6.579244
61,4.173684210526317,6.107433
62,7.078947368421051,5.859953
63,8.850000000000001,5.703894
64,4.173684210526317,3.9258246
65,7.078947368421051,3.7892041
66,8.850000000000001,3.7854958
67,8.735294117647056,3.8147664
68,7.078947368421051,4.114193
69,8.850000000000001,3.9450884
70,8.735294117647056,3.9042058
71,7.673684210526316,3.9306226
