,PM2.5,TabNet_diff
0,8.573684210526316,9.430512
1,7.6999999999999975,9.310067
2,9.594736842105265,9.187964
3,11.215789473684215,9.153103
4,7.6999999999999975,8.459861
5,9.594736842105265,8.352221
6,11.215789473684215,8.243078
7,9.827272727272726,8.211912
8,9.594736842105265,7.5886383
9,11.215789473684215,7.4834204
10,9.827272727272726,7.376831
11,7.620000000000001,7.346409
12,11.215789473684215,9.449083
13,9.827272727272726,9.311594
14,7.620000000000001,9.172442
15,6.68421052631579,9.132752
16,9.827272727272726,10.925338
17,7.620000000000001,10.6538925
18,6.68421052631579,10.381871
19,3.421052631578947,10.304789
20,7.620000000000001,9.633031
21,6.68421052631579,9.450441
22,3.421052631578947,9.266398
23,3.1947368421052627,9.21405
24,6.68421052631579,7.507777
25,3.421052631578947,7.4017687
26,3.1947368421052627,7.2944
27,4.75,7.2637625
28,3.421052631578947,6.560464
29,3.1947368421052627,6.443927
30,4.75,6.3262534
31,5.178947368421052,6.292742
32,3.1947368421052627,3.3994594
33,4.75,3.383905
34,5.178947368421052,3.3902602
35,5.084210526315789,3.4242578
36,4.75,3.184256
37,5.178947368421052,3.1796193
38,5.084210526315789,3.198783
39,5.842105263157895,3.2389412
40,5.178947368421052,4.704445
41,5.084210526315789,4.663326
42,5.842105263157895,4.63087
43,6.510526315789474,4.635088
44,5.084210526315789,5.105581
45,5.842105263157895,5.0369916
46,6.510526315789474,4.970921
47,7.199999999999999,4.9570417
48,5.842105263157895,5.003598
49,6.510526315789474,4.9285703
50,7.199999999999999,4.8574295
51,4.373684210526315,4.844063
52,6.510526315789474,5.7558246
53,7.199999999999999,5.674289
54,4.373684210526315,5.591675
55,4.173684210526315,5.5680947
56,7.199999999999999,6.420113
57,4.373684210526315,6.3346252
58,4.173684210526315,6.2479544
59,7.078947368421051,6.223209
60,4.373684210526315,7.0802336
61,4.173684210526315,6.967276
62,7.078947368421051,6.8530474
63,8.850000000000001,6.8204875
64,4.173684210526315,4.3142133
65,7.078947368421051,4.2610188
66,8.850000000000001,4.2206364
67,8.735294117647056,4.228666
68,7.078947368421051,4.1208344
69,8.850000000000001,4.074329
70,8.735294117647056,4.0427547
71,7.673684210526316,4.056284
72,8.850000000000001,6.954654
73,8.735294117647056,6.8375187
74,7.673684210526316,6.719156
75,5.96842105263158,6.685433
76,8.735294117647056,8.033328
77,7.673684210526316,7.504546
78,5.96842105263158,6.957655
79,6.215789473684211,6.604596
80,7.673684210526316,7.8438244
81,5.96842105263158,7.3027277
82,6.215789473684211,6.7278376
83,4.045,6.3727474
84,5.96842105263158,7.513727
85,6.215789473684211,7.2103252
86,4.045,6.9925895
87,4.973684210526315,6.7702327
88,6.215789473684211,5.747442
89,4.045,5.542569
90,4.973684210526315,5.3388777
91,5.78421052631579,5.281454
92,4.045,6.2187905
93,4.973684210526315,6.1741524
94,5.78421052631579,6.151966
95,6.6099999999999985,6.113056
96,4.973684210526315,4.026255
97,5.78421052631579,4.012264
98,6.6099999999999985,4.015188
99,6.689473684210528,4.0408883
100,5.78421052631579,4.892885
101,6.6099999999999985,4.81805
102,6.689473684210528,4.7486477
103,8.168421052631576,4.737968
104,6.6099999999999985,5.703833
105,6.689473684210528,5.627818
106,8.168421052631576,5.55074
107,9.421052631578949,5.5287294
108,6.689473684210528,6.2619424
109,8.168421052631576,5.8070617
110,9.421052631578949,5.437243
111,9.29,5.2220163
112,8.168421052631576,6.379441
113,9.421052631578949,5.961089
114,9.29,5.625513
115,6.221052631578947,5.4029684
116,9.421052631578949,8.060696
117,9.29,7.958806
118,6.221052631578947,7.85548
119,5.552631578947367,7.8259706
120,9.29,9.421052
121,6.221052631578947,9.421052
122,5.552631578947367,9.421052
123,4.336842105263157,9.421052
124,6.221052631578947,9.289999
125,5.552631578947367,9.289999
126,4.336842105263157,9.289999
